,desc,shark_tide,shark_frac_rising,shark_is_tidal,shrews_tide,gauge,gauge_err,bias,rmse,n_dry,atlantic_oceanfront,shrewsbury_navesink,sandy_hook_bay,south_coast,shark_river
faber-nowaves,FABER     sealed   nowaves,1.388,0.458,True,1.029,2.6122260093688965,-0.3227739906311035,0.185724901098954,0.4261563069374896,0,-0.0279367224375405,0.3318726400375366,0.0509426145553588,0.0479929146766662,
faber-waves-premier,FABER     sealed   waves,1.355,0.458,True,1.029,2.836505889892578,-0.0984941101074219,0.3183620379598517,0.4799596728264307,0,0.3121542676289877,0.434615931892395,0.0897200851440429,0.1467041072845458,
galibier-nowaves,GALIBIER  sealed   nowaves,1.388,0.458,True,1.029,2.6122260093688965,-0.3227739906311035,0.185724901098954,0.4261563069374896,0,-0.0279367224375405,0.3318726400375366,0.0509426145553588,0.0479929146766662,
galibier-waves,GALIBIER  sealed   waves,1.363,0.458,True,1.077,3.504629373550415,0.569629373550415,0.9657597568913509,1.14222674495996,0,0.9776294771830242,0.8380474666595458,0.1259731798171997,1.6960314807891843,
