run,desc,gauge,gauge_err,bias_wetonly,rmse_wetonly,bias_scored,rmse_scored,n_scored,n_dry,atlantic_oceanfront,n_atlantic_oceanfront,dry_atlantic_oceanfront,shrewsbury_navesink,n_shrewsbury_navesink,dry_shrewsbury_navesink,sandy_hook_bay,n_sandy_hook_bay,dry_sandy_hook_bay,south_coast,n_south_coast,dry_south_coast,shark_river,n_shark_river,dry_shark_river,tide_shrews,tide_shark,shark_is_tidal
snapwave_tuned_25m,PREMIER  (LEAKING)   waves,2.223051071166992,-0.7119489288330079,-0.09026766807154607,0.6962363097696733,-0.09026766807154607,0.6962363097696733,19,0,0.7316179815928142,3,0,-0.42244023284912113,10,0,0.03826303768157957,2,0,0.059484153747558555,4,0,,0,0,0.716,,False
faber_nowaves_25m,baseline (LEAKING)   nowaves,1.6632230281829834,-1.2717769718170167,-0.3745913541191503,0.8122335303619694,-0.3745913541191503,0.8122335303619694,19,0,-0.26598575274149566,3,0,-0.6061204691886903,10,0,-0.01852731418609621,2,0,-0.0552547874450684,4,0,,0,0,0.723,,False
leakfix_wall_waves_25m,wall                 waves,2.7195918560028076,-0.21540814399719244,0.3019359013406854,0.5861706082973861,0.3019359013406854,0.5861706082973861,19,0,1.0514002386728925,3,0,0.2284716943740844,10,0,0.02997262763977049,2,0,0.05947980260848995,4,0,,0,0,1.024,,False
leakfix_wall_nowaves_25m,wall                 nowaves,2.5051205158233643,-0.4298794841766358,0.11557409908896996,0.5004160728122495,0.11557409908896996,0.5004160728122495,19,0,0.38423336982727063,3,0,0.12824922599792474,10,0,-0.0091339797973633,2,0,-0.05525413179397587,4,0,,0,0,1.028,,False
leakfix_extend_waves_25m,extend               waves,2.6913936138153076,-0.24360638618469244,0.2910540758434095,0.5741297515707214,0.2910540758434095,0.5741297515707214,19,0,1.0349466546376547,3,0,0.2127466300964355,10,0,0.0298902540206909,2,0,0.059485167026519736,4,0,,0,0,0.972,,False
leakfix_extend_nowaves_25m,extend               nowaves,2.478020191192627,-0.4569798088073731,0.1048879901484439,0.49361372202383674,0.1048879901484439,0.49361372202383674,19,0,0.3651265048980714,3,0,0.11375504531860345,10,0,-0.009521052360534688,2,0,-0.05525401258468632,4,0,,0,0,0.977,,False
