run,desc,shark_tide,shark_frac_rising,shark_is_tidal,shrews_tide,gauge,gauge_err,bias,rmse,n_dry,atlantic_oceanfront,shrewsbury_navesink,sandy_hook_bay,south_coast,shark_river
sealed_faber_nowaves,FABER     sealed   nowaves,1.331,0.542,True,0.996,2.6122260093688965,-0.32277399063110357,0.18572490109895404,0.4261563069374896,0,-0.027936722437540567,0.3318726400375366,0.05094261455535887,0.04799291467666622,
sealed_faber_waves,FABER     sealed   waves,1.3,0.542,True,0.99,2.836505889892578,-0.09849411010742193,0.3183620379598517,0.4799596728264307,0,0.31215426762898774,0.43461593189239506,0.08972008514404295,0.14670410728454586,
sealed_galibier_nowaves,GALIBIER  sealed   nowaves,1.331,0.542,True,0.996,2.6122260093688965,-0.32277399063110357,0.18572490109895404,0.4261563069374896,0,-0.027936722437540567,0.3318726400375366,0.05094261455535887,0.04799291467666622,
sealed_galibier_waves,GALIBIER  sealed   waves,1.35,0.542,True,1.025,3.504629373550415,0.569629373550415,0.9657597568913509,1.1422267449599601,0,0.9776294771830242,0.8380474666595458,0.1259731798171997,1.6960314807891845,
leakfix_extend_waves_25m,[ref] leakfix mask-edit   waves,,0.0,False,0.972,2.6913936138153076,-0.24360638618469244,0.2910540758434095,0.5741297515707214,0,1.0349466546376547,0.2127466300964355,0.0298902540206909,0.059485167026519736,
leakfix_extend_nowaves_25m,[ref] leakfix mask-edit   nowaves,,0.0,False,0.977,2.478020191192627,-0.4569798088073731,0.1048879901484439,0.49361372202383674,0,0.3651265048980714,0.11375504531860345,-0.009521052360534688,-0.05525401258468632,
snapwave_tuned_25m,[ref] PREMIER (BROKEN)    waves,,0.0,False,0.716,2.223051071166992,-0.7119489288330079,-0.09026766807154607,0.6962363097696733,0,0.7316179815928142,-0.42244023284912113,0.03826303768157957,0.059484153747558555,
